id;descripcion_prod;actividad_economica;categoria;anio_2019;anio_2020;anio_2021;anio_2022;anio_2023;anio_2024
prex_0001;Soya y Productos de Soya;Agroindustria;Productos alimenticios;712;778;1329;1905;1534;984
prex_0002;Oro Metálico;Industria minera;Metales;1739;1276;2724;3225;2486;678
prex_0003;Estaño Metálico;Industria minera;Metales;285;178;507;511;395;529
prex_0004;Carne de la Especie Bovina;Ganaderia;Productos alimenticios;24;70;98;128;136;189
prex_0005;Joyería de Oro;Industria manufacturera;Joyas;136;135;204;88;8;188
prex_0006;Plata Metálica;Industria minera;Metales;95;119;149;115;116;129
prex_0007;Urea Granulada;Agroindustria;Fertilizante;75;5;31;193;78;128
prex_0008;Girasol y Productos de Girasol;Agroindustria;Productos alimenticios;55;94;137;158;144;122
prex_0009;Maderas y Manufacturas de Madera;Industria manufacturera;Productos forestales;49;54;85;91;80;84
prex_0010;Productos Alimenticios;Alimentos;Alimentos y productos alimenticios;22;19;23;80;88;83
prex_0011;Otras Manufacturas;Industria manufacturera;Varios;50;39;72;81;61;77
prex_0012;Antimonio Metálico y óxidos de Antimonio;Industria minera;Productos quimicos;14;12;23;31;26;55
prex_0013;Azúcar;Agroindustria;Productos alimenticios;39;51;61;69;61;44
prex_0014;Productos de la Refinación del Petróleo;Energia;Derivados del petróleo;43;10;18;39;39;37
prex_0015;Sustancias y Productos Químicos;Industria quimica;Productos quimicos;22;24;30;46;35;37
prex_0016;Alcohol Etílico;Energia;Productos quimicos;61;67;58;73;39;29
prex_0017;Leche en Polvo y Fluida;Ganaderia;Productos alimenticios;16;21;32;41;35;26
prex_0018;Cueros y Manufacturas de Cuero;Ganaderia;Productos manufacturados;17;12;28;23;20;20
prex_0019;Prendas de Vestir, Adobo y Tenido de Pieles;Industria manufacturera;Vestimenta y calzados;11;8;16;24;25;19
prex_0020;Gas Licuado de Petroleo (GLP);Energia;Derivados del petróleo;40;28;72;78;27;19
prex_0021;Cobre Refinado Catodos;Industria minera;Productos manufacturados;16;13;15;11;17;17
prex_0022;Otros Metales Manufacturados;Industria minera;Productos manufacturados;5;4;16;16;15;17
prex_0023;Carbonato de Litio;Energia;Productos quimicos;0;0;10;38;15;16
prex_0024;Papel y Productos de Papel;Industria manufacturera;Productos forestales;6;9;14;24;15;15
prex_0025;Productos Textiles;Industria manufacturera;Textiles;16;10;13;12;8;14
prex_0026;Cloruro de Potasio;Agroindustria;Fertilizante;6;2;10;25;18;13
prex_0027;Palmitos;Agroindustria;Productos alimenticios;8;10;10;13;14;12
prex_0028;Productos de Galleteria y Panaderia;Agroindustria;Productos alimenticios;10;8;9;10;8;9
prex_0029;Fabricación de muebles de Madera;Industria manufacturera;Productos forestales;7;6;10;10;5;8
prex_0030;Ácido Ortobórico;Agroindustria;Productos quimicos;1;0;2;1;5;7
prex_0031;Cacao;Agroindustria;Productos alimenticios;1;1;2;2;1;3
prex_0032;Preparaciones Alimenticias de Aceites Vegetales;Agroindustria;Productos alimenticios;4;4;5;5;4;2
prex_0033;Calzados;Industria manufacturera;Vestimenta y calzados;1;0;0;1;2;2
prex_0034;Barras de Plomo;Industria manufacturera;Productos manufacturados;1;1;1;0;0;0
prex_0035;Bebidas;Agroindustria;Productos alimenticios;2;1;1;0;1;1
prex_0036;Joyería con Oro Importado;Industria manufacturera;Joyas;0;0;1;0;0;0
prex_0037;Fabricacion de muebles con otro material;Industria manufacturera;Productos manufacturados;0;0;1;0;0;0
prex_0038;Joyería de Plata;Industria manufacturera;Joyas;0;0;0;0;0;0
prex_0039;Café Elaborado;Agroindustria;Productos alimenticios;0;0;0;0;0;0
prex_0040;Productos de Tabacos;Agroindustria;Productos de tabaco;0;0;0;0;0;0
prex_0041;Mineral de Zinc;Industria minera;Materia prima;1339;821;1384;1824;1326;1416
prex_0042;Mineral de Plata;Industria minera;Electronica;502;483;870;755;883;1198
prex_0043;Mineral de Plomo;Industria minera;Materia prima;172;110;197;194;214;231
prex_0044;Boratos;Industria minera;Productos quimicos;44;52;73;79;84;99
prex_0045;Mineral de Estaño;Industria minera;Electronica;1;30;60;3;22;64
prex_0046;Mineral de Antimonio;Industria minera;Productos quimicos;4;2;8;12;18;44
prex_0047;Wolfram;Industria minera;Tecnologia;17;21;31;29;32;40
prex_0048;Mineral de Cobre;Industria minera;Tecnologia;8;7;15;21;19;26
prex_0049;Otros Minerales;Industria minera;Productos manufacturados;9;4;7;30;7;13
prex_0050;Sulfato de Bario Natural;Industria minera;Productos quimicos;5;1;3;7;8;11
prex_0051;Mineral de Oro;Industria minera;Electronica;5;6;4;5;5;7
prex_0052;Otras Minas y Canteras;Industira minera no metalica;Varios;1;1;1;1;1;2
prex_0053;Piedras Preciosas y Semipreciosas Naturales;Industira minera;Electronica;1;1;1;1;0;1
prex_0054;Gas Natural;Energia;Combustible;2720;1989;2249;2973;2050;1615
prex_0055;Combustibles;Energia;Combustible;21;11;20;0;11;1
prex_0056;Nueces del Brasil;Agroindustria;Productos alimenticios;156;127;157;198;115;188
prex_0057;Quinua;Agroindustria;Productos alimenticios;91;92;62;46;57;85
prex_0058;Semillas y Habas de Soya;Agroindustria;Productos alimenticios;5;8;44;335;222;81
prex_0059;Bananas;Agroindustria;Productos alimenticios;30;36;38;47;44;33
prex_0060;Chía;Agroindustria;Productos alimenticios;19;22;27;23;26;26
prex_0061;Otros Productos Agropecuarios;Agroindustria;Productos alimenticios;14;13;18;14;21;23
prex_0062;Semillas de Sésamo(ajonjolí);Agroindustria;Productos alimenticios;10;19;24;22;20;20
prex_0063;Cafe sin Tostar;Agroindustria;Productos alimenticios;9;9;10;16;12;15
prex_0064;Frijoles;Agroindustria;Productos alimenticios;14;17;13;23;20;14
prex_0065;Maníes;Agroindustria;Productos alimenticios;11;10;15;17;15;11
prex_0066;Cacao en Grano;Agroindustria;Productos alimenticios;1;1;1;1;2;11
prex_0067;Maíz;Agroindustria;Productos alimenticios;4;9;17;6;4;8
prex_0068;Semillas de Girasol;Agroindustria;Productos alimenticios;1;2;0;2;2;1
prex_0069;Frutas y Frutos Comestibles;Agroindustria;Productos alimenticios;1;2;1;0;0;0
prex_0070;Cueros en Bruto;Ganaderia;Productos manufacturados;0;0;0;0;0;0
prex_0071;Flores;Agroindustria;Floricultura;0;0;0;0;0;0
prex_0072;Algodón sin Cardar ni Peinar;Industria textil;Textiles;0;0;0;0;0;0
prex_0073;Energía Eléctrica;Energia;Sector energetico;0;0;0;0;6;18
prex_0074;Efectos Personales;Bienes personales;Productos varios;2;1;1;1;1;1
prex_0075;Reexportaciones;Reexportacion;Productos varios;126;117;93;67;112;135
