id,tipo,estado,oferta,precio,moneda,nro_ambientes,nro_banios,zona,ciudad,area_m2,latitud,longitud
CAS00001,casa,disponible,alquiler,2500.0,dolar,4,6,Aranjuez,La Paz,450.0,-16.556362,-68.109787
DEP00001,departamento,disponible,alquiler,650.0,dolar,3,3,Calacoto,La Paz,160.0,-16.541677,-68.083839
TER00001,terreno,disponible,venta,85500.0,dolar,0,0,Mallasilla,La Paz,310.0,-16.566319,-68.100128
CAS00002,casa,disponible,venta,280000.0,dolar,4,5,Mallasa,La Paz,350.0,-16.58375,-68.078125
PAR00001,parqueo,disponible,venta,9000.0,dolar,0,0,San Jorge,La Paz,10.0,-16.513435,-68.120384
CAS00003,casa,disponible,alquiler,2500.0,dolar,5,4,Obrajes,La Paz,260.0,-16.524572,-68.113152
CAS00004,casa,disponible,venta,768000.0,dolar,5,6,Auquisamaña,La Paz,475.0,-16.548054,-68.069832
DEP00002,departamento,disponible,alquiler,570.0,dolar,2,3,Calacoto,La Paz,150.0,-16.539167,-68.074059
CAS00005,casa,disponible,venta,350000.0,dolar,4,5,Río Abajo,La Paz,393.0,-16.594164,-68.071121
DEP00003,departamento,disponible,venta,155000.0,dolar,3,3,Achumani,La Paz,103.0,-16.519627,-68.06356
CAS00006,casa,disponible,venta,460000.0,dolar,3,3,Achumani,La Paz,547.0,-16.517569,-68.062363
DEP00004,departamento,disponible,alquiler,1500.0,dolar,3,5,Achumani,La Paz,220.0,-16.529913,-68.073952
OFI00001,oficina,disponible,venta,220000.0,dolar,5,3,Sopocachi,La Paz,221.0,-16.512682,-68.12532
LOC00001,local comercial,disponible,venta,224000.0,dolar,2,4,Achumani,La Paz,168.0,-16.518681,-68.056099
CAS00007,casa,disponible,venta,160000.0,dolar,5,5,Achumani,La Paz,367.0,-16.51189,-68.065796
DEP00005,departamento,disponible,alquiler,550.0,dolar,3,4,Calacoto,La Paz,157.0,-16.538263,-68.079208
DEP00006,departamento,disponible,venta,136400.0,dolar,3,3,Achumani,La Paz,125.0,-16.513908,-68.05912
OFI00002,oficina,disponible,alquiler,980.0,dolar,1,1,San Jorge,La Paz,157.0,-16.509956,-68.124435
CAS00008,casa,disponible,alquiler,1300.0,dolar,3,4,Auquisamaña,La Paz,320.0,-16.548332,-68.069252
DEP00007,departamento,disponible,alquiler,570.0,dolar,2,2,Calacoto,La Paz,120.0,-16.539497,-68.078262
CAS00009,casa,disponible,alquiler,500.0,dolar,2,2,Achumani,La Paz,120.0,-16.510698,-68.058052
DEP00008,departamento,disponible,alquiler,2200.0,dolar,4,5,Achumani,La Paz,241.0,-16.526087,-68.065689
LOC00002,local comercial,disponible,alquiler,2100.0,dolar,1,3,Calacoto,La Paz,196.0,-16.54501,-68.084526
DEP00009,departamento,disponible,venta,172000.0,dolar,4,3,Sopocachi,La Paz,155.0,-16.51082,-68.126396
OFI00003,oficina,disponible,alquiler,430.0,dolar,1,1,San Jorge,La Paz,60.0,-16.51193,-68.121948
CAS00010,casa,disponible,alquiler,700.0,dolar,1,1,Achumani,La Paz,20.0,-16.53018,-68.069916
CAS00011,casa,disponible,alquiler,2000.0,dolar,4,6,Irpavi,La Paz,430.0,-16.521395,-68.087128
DEP00010,departamento,disponible,venta,135000.0,dolar,2,3,San Miguel,La Paz,115.0,-16.542953,-68.079849
DEP00011,departamento,disponible,venta,107900.0,dolar,2,2,Cota Cota,La Paz,102.0,-16.541842,-68.066032
OFI00004,oficina,disponible,venta,184000.0,dolar,5,2,Centro,La Paz,122.0,-16.500656,-68.133301
DEP00012,departamento,disponible,alquiler,350.0,dolar,1,1,Calacoto,La Paz,64.0,-16.538921,-68.07328
CAS00012,casa,disponible,alquiler,1200.0,dolar,3,6,Achumani,La Paz,400.0,-16.521067,-68.064873
DEP00013,departamento,disponible,alquiler,1500.0,dolar,3,5,Calacoto,La Paz,235.0,-16.54044,-68.088104
DEP00014,departamento,disponible,alquiler,1800.0,dolar,3,4,Calacoto,La Paz,260.0,-16.541471,-68.087105
CAS00013,casa,disponible,alquiler,1100.0,dolar,3,4,Achumani,La Paz,230.0,-16.523331,-68.065109
CAS00014,casa,disponible,venta,125000.0,dolar,3,3,Río Abajo,La Paz,220.0,-16.602203,-68.065567
CAS00015,casa,disponible,venta,695000.0,dolar,7,6,Achumani,La Paz,791.0,-16.518805,-68.063904
TER00002,terreno,disponible,venta,265000.0,dolar,0,0,Irpavi,La Paz,2000.0,-16.502714,-68.080948
CAS00016,casa,disponible,venta,190000.0,dolar,3,3,Koani,La Paz,240.0,-16.527349,-68.078781
CAS00017,casa,disponible,venta,510000.0,dolar,5,4,Achumani,La Paz,383.0,-16.536989,-68.081161
DEP00015,departamento,disponible,alquiler,850.0,dolar,2,2,Calacoto,La Paz,106.0,-16.537645,-68.078308
DEP00016,departamento,disponible,venta,98000.0,dolar,2,2,Sopocachi,La Paz,89.0,-16.516087,-68.129997
DEP00017,departamento,disponible,venta,105000.0,dolar,1,1,La Florida,La Paz,65.0,-16.548426,-68.087814
CAS00018,casa,disponible,venta,1000000.0,dolar,5,9,Río Abajo,La Paz,993.0,-16.60766,-68.070366
DEP00018,departamento,disponible,venta,135000.0,dolar,3,3,Miraflores,La Paz,118.0,-16.488476,-68.125191
LOC00003,local comercial,disponible,venta,213000.0,dolar,2,4,Achumani,La Paz,165.0,-16.518517,-68.055687
DEP00019,departamento,disponible,alquiler,500.0,dolar,1,1,Los Pinos,La Paz,48.0,-16.538921,-68.076202
OFI00005,oficina,disponible,alquiler,2500.0,dolar,12,6,Obrajes,La Paz,300.0,-16.529707,-68.101433
DEP00020,departamento,disponible,venta,200000.0,dolar,3,4,Obrajes,La Paz,131.0,-16.528753,-68.102844
DEP00021,departamento,disponible,venta,44444.0,dolar,1,1,Chasquipampa,La Paz,33.0,-16.537891,-68.039955
TER00003,terreno,disponible,venta,62000.0,dolar,0,0,Seguencoma,La Paz,300.0,-16.548979,-68.09787
DEP00022,departamento,disponible,venta,59500.0,dolar,2,1,Pampahasi,La Paz,70.0,-16.48971,-68.096176
CAS00019,casa,disponible,venta,470000.0,dolar,4,6,Achumani,La Paz,536.0,-16.523247,-68.068283
CAS00020,casa,disponible,venta,980000.0,dolar,4,6,San Alberto,La Paz,591.0,-16.529499,-68.091774
DEP00023,departamento,disponible,venta,110000.0,dolar,2,2,Achumani,La Paz,93.0,-16.516253,-68.063477
DEP00024,departamento,disponible,venta,125000.0,dolar,2,2,Irpavi,La Paz,85.0,-16.529705,-68.087044
DEP00025,departamento,disponible,alquiler,419.0,dolar,2,2,San Jorge,La Paz,116.0,-16.514585,-68.119461
DEP00026,departamento,disponible,alquiler,380.0,dolar,3,3,San Miguel,La Paz,122.0,-16.540249,-68.079994
DEP00027,departamento,disponible,alquiler,750.0,dolar,3,4,Calacoto,La Paz,153.0,-16.539621,-68.084335
DEP00028,departamento,disponible,venta,120000.0,dolar,2,3,Obrajes,La Paz,95.0,-16.525839,-68.108131
DEP00029,departamento,disponible,venta,434000.0,dolar,4,5,Calacoto,La Paz,365.0,-16.539722,-68.082428
CAS00021,casa,disponible,venta,595000.0,dolar,4,7,Calacoto,La Paz,526.0,-16.538263,-68.076462
