titulo,descripcion,precio,nro_ambientes,nro_banios,area_m2,latitud,longitud,estado,detalles,enlace
BELLA CASA EN ALQUILER SUPER RECIDENCIAL AMOBLADA O VACIA,"Aranjuez, La Paz - Casa en Alquiler","$us. 2,500",4.0,6.0,450.0,-16.556362,-68.109787,Disponible,"Esta bella casa un condominio privado, moderna, semi nueva, con materiales de primera calidad la ponemos en alquiler para que disfrutes de ella y de sus espacios particularmente amplios, elegantes además áreas sociales de ensueño y super confort en sus áreas intimas Iniciamos nuestro recorrido encontrándonos con una casa imponente de estilo neoclásico • Area de recepción • Living con chimenea ( el principal ) • Comedor principal super amplio • 3 áreas de living en diferentes estilos elegantes a mas informales • Estas áreas sociales, se fusionan a un comer de diario super acogedor y una hermosa cocina con mueblería de piso y pared  mesones de granito además una isla bella que funciona espacios. • Alrededor de la casa muchos espacios de jardín con bellas plantas y decoraciones con la misma • En medio  del bello jardín un quincho techado, moderno, con espacios para todo lo que desees   un rico churrasco, una tarde de futbol, una reunión de,  karaoke etc. …así este espacio de la casa se convierte en tu lugar feliz. • Subiendo unas escaleras soñadas vamos al segundo piso en el cual encontramos una sala de estar intima con su bello espacio de TV • 4 dormitorios 2 en suite 2 que comparten un baño • Area de servicio cuarto y baño • Deposito • Area de lavado de ropa • Garaje para 3 autos",https://www.ultracasas.com/inmueble/casa-en-alquiler-aranjuez-bella-casa-en-alquiler-super-la-paz-1012547
CALACOTO CALLE 15,"Calacoto, La Paz - Departamento en Alquiler","Bs. 6,500",3.0,3.0,160.0,-16.541677,-68.083839,Disponible,"Departamento moderno de lujo amoblado y full equipado, excelente ubicación en la calle 15 de la zona de Calacoto. Si buscas un espacio iluminado, hermosas vistas y con estilo moderno contemporáneo este departamento es ideal con 160m2, consta de: *3 dormitorios *Living Comedor * Sala TV * Escritorio cómodo * 3 Baños * Cocina con comedor de diario *Garaje *Edificio sin Ascensor (4to. piso) Precios Bs. 6500.- negociable",https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-calacoto-calle-15-la-paz-1051006
MALLASILLA,"Mallasilla, La Paz - Terreno en Venta","$us. 85,500",,,310.0,-16.566319,-68.100128,Disponible,"Llegó la oportunidad que tanto estabas esperando! EMPRESA CONTRUCTORA CON GRAN PRESTIGIO EN LA CIUDAD, pone a su disposición, exclusivos 15 Terrenos en Urbanización Privada “Estancia 7 Colores” para construir la casa que siempre soñaste, con superficies desde 310 m2 hasta 485m2. Gozaras del clima perfecto, con vista hacia el valle de Mallasilla, Club de Golf La Paz, muela del Diablo y Urbanización Isla Verde. Contará con: Portón de Ingreso directo de Avenida Principal Todos los servicios Básicos (Luz, Agua, Alcantarillado) Club House Parque Infantil Parrillero Sala Multiuso Paseos y áreas verdes Calles asfaltadas No pierdas los Precios de Pre-venta con el 85% de avance desde $us. 85.500 REGALO ESPECIAL: Los primeros 5 terrenos vendidos, tendrán el Diseño de construcción de la casa que tanto soñaron.",https://www.ultracasas.com/inmueble/terreno-en-venta-mallasilla-mallasilla-la-paz-826606
EN VENTA PRECIOSA CASA EN UMAMANTA,"Mallasa, La Paz - Casa en Venta","Bs. 2,800,000",4.0,5.0,350.0,-16.58375,-68.078125,Disponible,"Bella casa estilo alemán, donde se destacan excelentes materiales piedra madera, cuarzo, bellos empapelados en paredes y otros , encantadora, acogedora un bello hogar En una superficie de 570 m2 de terreno y 360 m2 construidos se desarrolla esta preciosa residencia, además de tener todos los ambientes perfectos para una vivienda cómoda y confortable; también resalta su hermoso y amplio jardín en el cual, además de tener un área de recreación, goza de tener muchos árboles frutales y arboles decorativos. La urbanización cuenta con un carácter de exclusividad al 100% altamente residencial, seguridad 24/7,  todas las calles asfaltadas, ambiente tranquilo, paisajes hermosos de nuestros bellos cerros, áreas comunes super bien cuidadas como: parque infantil, miradores, polifuncional, área de parrillero, y cancha de futbol con césped. La casa cuenta con los siguientes ambientes: • Área de Recepción • Living comedor separado en dos ambientes muy sutiles • Cocina abierta preciosa muy moderna con un aire romántico y muy hogareño, mesón de cuarzo y mueblería de madera. • Área de comedor de diario todo esto con vista al jardín, muchos detalles de madera • Escritorio • Living secundario o sala de estar • Baño de visitas • 4 dormitorios de los cuales 2 son en Suite y dos comparten un baño. El dormitorio master cuenta con un amplio baño muy completo y Walk-in Closet amplio, las ventanas orientadas al jardín este es un beneficio muy especial. • El jardín se complementa con un área de parrillero techado, con su salón comedor amplio muy cómodo. • Garaje para dos autos • Área de lavandería • Cuarto y baño de servicio",https://www.ultracasas.com/inmueble/casa-en-venta-rio-abajo-en-venta-preciosa-casa-en-umamanta-la-paz-1005084
"Edificio Priscila II, AV Aniceto Arce,","San Jorge, La Paz - Parqueo en Venta","Bs. 90,000",,,0.0,-16.513435,-68.120384,Disponible,"Amplios parqueos a estrenar, opciones con y sin baulera en sótanos 2, 3, 4 y 5, en excelente ubicación a unos pasos de la embajada americana, con gran plusvalía. Venta directa con la empresa Constructora. Hablar con Rafaéla o Lourdes.",https://www.ultracasas.com/inmueble/parqueo-en-venta-san-jorge-edificio-priscila-ii-av-aniceto-la-paz-1053464
"EDIFICIO EN ALQUILER, OBRAJES AV. PRINCIPAL","Obrajes, La Paz - Casa en Alquiler","Bs. 25,000",5.0,4.0,260.0,-16.524572,-68.113152,Disponible,"🚀 ¡EDIFICIO EN ALQUILER! 📍 Obrajes – sobre avenida principal 🏢 Edificio nuevo con ingreso independiente, ideal para empresas, laboratorios o gimnasio. 📐 2 pisos + terraza: ✨ Cada piso de 90 m² con ambientes amplios 🌇 Terraza privada en el 3er nivel 🚪 Entrada exclusiva 💰 Alquiler total: Bs 25.000 🚪 Entrada independiente 💼 Perfecto para: ✔️ Oficinas corporativas ✔️ Laboratorios ✔️ Gimnasio o centro de bienestar 💰 Alquiler: Bs 25.000 📲 Agenda tu visita!",https://www.ultracasas.com/inmueble/casa-en-alquiler-obrajes-edificio-en-alquiler-obrajes-av-la-paz-1053897
,,,,,,,,Disponible,,
EN VENTA HERMOSA RESIDENCIA EN CONDOMINIO PRIVADO CALACOTO,"Auquisamaña, La Paz - Casa en Venta","$us. 768,000",5.0,6.0,475.0,-16.548054,-68.069832,Disponible,"Te presento esta hermosa residencia, para que tu la toes en cuenta como un hermoso lugar de para que sea tu hogar, y disfrutes de todas sus comodidades Esta casa amplia llena de detalles de confort, espacios acogedores y mucho mas esta construida en un terreno de 475 m2 y construidos 589 m2 útiles Cuenta con 2 niveles principales y además beigman y altillo encantadore Te la describo • Area de recepción super elegante con vestidor • Living comedor, separados en dos ambientes , amplio y muy cómodo con pisos de madera moradillo • Bello escritorio • Baño de visitas • Estar familiar tipo solárium • Cocina amplia con mueblería de piso y pared mas una isla En la segunda planta • Estar familiar amplio lugar increíble • 5 dormitorios  un master impecable en tamaño, comodad, luz etc. con baño y walking closet • 4 baños Tercera planta • Altillo el lugar de encanto, caliente, amplio área el mejor uso que le pueda dar tu familia Semi subsuelo • Sala de juegos • Estar familiar Jardin Parrillero Garaje para tres vehículos Dependencias de empleada Deposito",https://www.ultracasas.com/inmueble/casa-en-venta-auquisamana-en-venta-hermosa-residencia-en-la-paz-1034735
"DEPARTAMENTO EN ALQUILER, CALACOTO","Calacoto, La Paz - Departamento en Alquiler","Bs. 5,700",2.0,3.0,150.0,-16.539167,-68.074059,Disponible,"Descripción del Departamento en Alquiler – Calacoto, Piso 5 🔹 Atención: Vive con lujo y comodidad en este exclusivo departamento ubicado en el corazón de Calacoto, en la calle 24. Con una vista privilegiada desde el piso 5, este hogar te ofrece acabados de alta gama y un diseño moderno que combina elegancia y funcionalidad. Cuenta con calefacción radial central. 🔹 Interés: Con una superficie de 150 m², este espacioso departamento cuenta con 2 dormitorios en suite, uno de ellos con vestidor, proporcionando privacidad y confort, baño de visitas. Su living y comedor están diseñados para maximizar el espacio y la iluminación natural, creando un ambiente cálido y sofisticado. 🔹 Deseo: La cocina estilo americana está completamente equipada con electrodomésticos de última generación: encimera, horno empotrado, lavavajillas y refrigerador, ideal para quienes disfrutan de la gastronomía en casa. Además, el departamento incluye garaje y baulera, brindando comodidad y seguridad adicional. También cuenta con una baulera bastante amplia 🔹 Acción: No dejes pasar la oportunidad de vivir en este exclusivo espacio por tan solo Bs. 5.700. ¡Contáctanos hoy mismo para agendar una visita y enamorarte de tu nuevo hogar! Detalles del Departamento en Puntos 📍 Ubicación: Calle 24 de Calacoto, Piso 5 📐 Superficie: 150 m² 🛏 Dormitorios: 2 en suite (uno con vestidor) 🛋 Espacios: Living y comedor amplios",https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-departamento-en-alquiler-la-paz-1045527
JUPAPINA,"Río Abajo, La Paz - Casa en Venta","$us. 350,000",4.0,5.0,393.0,-16.594164,-68.071121,Disponible,"Propiedad hermosa en venta en Jupanina, calle 4 a una cuadra de la Avenida principal, con una superficie de 980 m2 de terreno, construidos sobre 393 m2, y un terreno adicional de 298 m2, Jardines amplios con juegos para niños, garaje con capacidad para 10 movilidades, 2 parrilleros, 4 dormitorios 2 en Suit, Living, Comedor 2 salas de Star, Sala de Juegos, mas un garzonier. Precio OFERTABLE Us. 350.000",https://www.ultracasas.com/inmueble/casa-en-venta-rio-abajo-jupapina-la-paz-807046
